date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-01-14 14:30:00,10.57,10.57,10.57,10.56,332.0,350819.0,10.618,10.560800000000002,10.6276
2026-01-14 14:31:00,10.57,10.57,10.58,10.56,878.0,928154.0,10.618,10.56,10.6279
2026-01-14 14:32:00,10.57,10.56,10.57,10.56,1748.0,1845997.0,10.617,10.558800000000002,10.62805
2026-01-14 14:33:00,10.56,10.54,10.57,10.54,1302.0,1373644.0,10.617,10.5572,10.6281
2026-01-14 14:34:00,10.54,10.54,10.55,10.54,437.0,460951.0,10.617,10.556,10.6279
2026-01-14 14:35:00,10.54,10.54,10.55,10.54,363.0,382812.0,10.617,10.554400000000001,10.627699999999999
2026-01-14 14:36:00,10.54,10.53,10.54,10.53,1522.0,1604041.0,10.617,10.552200000000001,10.6274
2026-01-14 14:37:00,10.53,10.51,10.54,10.51,1656.0,1742658.0,10.616,10.5498,10.62675
2026-01-14 14:38:00,10.51,10.53,10.54,10.52,1101.0,1159185.0,10.616,10.5474,10.626199999999999
2026-01-14 14:39:00,10.53,10.52,10.54,10.52,929.0,977850.0,10.616,10.545,10.62555
2026-01-14 14:40:00,10.52,10.54,10.54,10.52,1146.0,1206691.0,10.616,10.543600000000001,10.6249
2026-01-14 14:41:00,10.54,10.54,10.54,10.53,1177.0,1240505.0,10.615,10.5424,10.62435
2026-01-14 14:42:00,10.54,10.54,10.55,10.53,725.0,764233.0,10.615,10.540799999999999,10.62375
2026-01-14 14:43:00,10.54,10.55,10.55,10.54,868.0,915290.0,10.615,10.5394,10.623099999999999
2026-01-14 14:44:00,10.55,10.54,10.55,10.54,1717.0,1810066.0,10.615,10.5382,10.622349999999999
2026-01-14 14:45:00,10.54,10.54,10.55,10.53,836.0,881186.0,10.615,10.5372,10.62145
2026-01-14 14:46:00,10.54,10.54,10.55,10.53,997.0,1050910.0,10.614,10.5366,10.6206
2026-01-14 14:47:00,10.54,10.54,10.54,10.53,1991.0,2097960.0,10.614,10.536,10.6196
2026-01-14 14:48:00,10.54,10.53,10.54,10.53,1057.0,1113827.0,10.614,10.5358,10.6187
2026-01-14 14:49:00,10.53,10.52,10.54,10.52,1108.0,1166713.0,10.614,10.5358,10.6175
2026-01-14 14:50:00,10.52,10.53,10.53,10.52,606.0,637914.0,10.613,10.536000000000001,10.61645
2026-01-14 14:51:00,10.53,10.54,10.54,10.52,1563.0,1645549.0,10.613,10.536800000000001,10.615599999999999
2026-01-14 14:52:00,10.54,10.54,10.55,10.53,2158.0,2273639.0,10.613,10.5372,10.6148
2026-01-14 14:53:00,10.54,10.53,10.55,10.53,1837.0,1936520.0,10.612,10.537399999999998,10.6141
2026-01-14 14:54:00,10.53,10.53,10.54,10.53,2185.0,2301773.0,10.612,10.5374,10.6132
2026-01-14 14:55:00,10.53,10.54,10.54,10.53,1211.0,1275667.0,10.612,10.537799999999999,10.61245
2026-01-14 14:56:00,10.54,10.54,10.54,10.53,1283.0,1351894.0,10.612,10.5384,10.611749999999999
2026-01-14 14:57:00,10.54,10.56,10.56,10.53,4268.0,4499144.0,10.611,10.5398,10.61115
2026-01-14 14:58:00,10.56,10.55,10.55,10.55,10.0,10550.0,10.611,10.5414,10.61055
2026-01-14 14:59:00,10.55,10.55,10.55,10.55,0.0,0.0,10.611,10.5424,10.61
2026-01-14 15:00:00,10.55,10.55,10.55,10.55,1540.0,1624700.0,10.611,10.543199999999999,10.609450000000002
2026-01-15 09:30:00,10.51,10.51,10.51,10.51,1063.0,1117213.0,10.51,10.5426,10.60875
2026-01-15 09:31:00,10.5,10.48,10.52,10.42,5500.0,5758205.0,10.476,10.540799999999999,10.6078
2026-01-15 09:32:00,10.46,10.47,10.49,10.43,9449.0,9867930.0,10.457,10.538800000000002,10.606750000000002
2026-01-15 09:33:00,10.48,10.55,10.55,10.48,11158.0,11725838.0,10.478,10.538599999999999,10.60615
2026-01-15 09:34:00,10.56,10.63,10.65,10.56,4181.0,4438898.0,10.497,10.5402,10.605899999999998
2026-01-15 09:35:00,10.61,10.66,10.72,10.61,10374.0,11062892.0,10.538,10.542399999999997,10.605849999999998
2026-01-15 09:36:00,10.64,10.61,10.65,10.6,2106.0,2240010.0,10.543,10.5438,10.605450000000001
2026-01-15 09:37:00,10.61,10.6,10.62,10.59,2444.0,2590140.0,10.546,10.5448,10.605
2026-01-15 09:38:00,10.6,10.55,10.6,10.55,1454.0,1539619.0,10.547,10.5452,10.60435
2026-01-15 09:39:00,10.54,10.57,10.57,10.54,1985.0,2094989.0,10.548,10.5458,10.603800000000001
2026-01-15 09:40:00,10.57,10.69,10.7,10.57,6897.0,7352932.0,10.561,10.5492,10.6038
2026-01-15 09:41:00,10.68,10.71,10.72,10.67,6517.0,6971789.0,10.575,10.5528,10.60385
2026-01-15 09:42:00,10.71,10.73,10.74,10.68,6039.0,6468025.0,10.587,10.557,10.604
2026-01-15 09:43:00,10.72,10.72,10.75,10.71,4821.0,5170808.0,10.596,10.560799999999999,10.60395
2026-01-15 09:44:00,10.72,10.69,10.72,10.69,1724.0,1845546.0,10.599,10.563799999999999,10.603700000000002
2026-01-15 09:45:00,10.72,10.74,10.74,10.71,4230.0,4538178.0,10.606,10.5672,10.60375
2026-01-15 09:46:00,10.74,10.79,10.8,10.74,9437.0,10165157.0,10.623,10.571800000000001,10.604099999999999
2026-01-15 09:47:00,10.79,10.78,10.8,10.78,4069.0,4392224.0,10.631,10.576,10.604350000000002
2026-01-15 09:48:00,10.79,10.79,10.8,10.78,1700.0,1834105.0,10.633,10.5804,10.604700000000001
2026-01-15 09:49:00,10.78,10.83,10.83,10.78,5774.0,6238085.0,10.643,10.5856,10.605350000000001
2026-01-15 09:50:00,10.82,10.79,10.82,10.78,4065.0,4390247.0,10.649,10.59,10.605899999999998
2026-01-15 09:51:00,10.79,10.79,10.8,10.77,2245.0,2421283.0,10.652,10.594599999999998,10.606499999999999
2026-01-15 09:52:00,10.78,10.79,10.8,10.77,2418.0,2608807.0,10.655,10.5996,10.60705
2026-01-15 09:53:00,10.8,10.78,10.84,10.78,3237.0,3498893.0,10.66,10.6044,10.6075
2026-01-15 09:54:00,10.79,10.79,10.8,10.77,1415.0,1526287.0,10.661,10.609399999999999,10.60795
